old_locus_tag,X0.mM.SA.counts,X2.mM.SA.counts
PA14_00010,18459,17249
PA14_00020,19775,17000
PA14_00030,14825,12242
PA14_00050,33991,30678
PA14_00060,3804,3088
PA14_00070,1990,1741
PA14_00080,679,938
PA14_00090,16105,13881
PA14_00100,8136,6622
PA14_00110,750,652
PA14_00120,3543,2946
PA14_00130,633,564
PA14_00140,656,553
PA14_00150,269,220
PA14_00160,1392,1440
PA14_00170,7885,6958
PA14_00180,6409,5492
PA14_00190,5293,4292
PA14_00200,6481,6407
PA14_00210,12150,10134
PA14_00230,140,174
PA14_00240,1920,1681
PA14_00250,2800,2361
PA14_00280,6614,5848
PA14_00290,4321,3759
PA14_00300,3127,2795
PA14_00310,2240,2015
PA14_00320,623,640
PA14_00340,129,146
PA14_00360,146,138
PA14_00380,233,227
PA14_00400,912,883
PA14_00410,911,905
PA14_00420,130,135
PA14_00430,259,225
PA14_00440,1704,1511
PA14_00450,2651,2321
PA14_00460,1028,920
PA14_00470,662,1043
PA14_00480,8882,11853
PA14_00490,685,1134
PA14_00510,3038,8773
,38,47
PA14_00530,586,864
,138,166
PA14_00550,713,672
PA14_00560,3643,2484
PA14_00570,4298,9343
PA14_00580,2612,5843
,2767,6637
PA14_00600,114,89
PA14_00620,415,314
PA14_00630,346,922
,369,1105
PA14_00640,305,232
PA14_00650,184,331
PA14_00660,1041,1206
PA14_00670,1588,1426
PA14_00680,401,409
PA14_00690,160,135
PA14_00700,163,160
PA14_00710,260,408
PA14_00720,644,737
PA14_00730,443,527
PA14_00740,256,358
PA14_00750,1788,1513
PA14_00760,2349,3472
PA14_00770,1614,1547
PA14_00780,1461,1197
PA14_00790,12348,11268
PA14_00800,1734,1557
PA14_00810,957,872
PA14_00820,16071,69433
PA14_00830,4303,10361
PA14_00850,1070,2756
PA14_00860,911,2470
PA14_00875,5524,15440
PA14_00890,1319,3923
PA14_00900,1286,3947
PA14_00910,6412,22935
PA14_00925,2676,9471
PA14_00940,3036,9898
PA14_00960,1443,4664
,4459,7717
PA14_00990,3920,13659
PA14_01010,4739,25365
PA14_01020,12507,68045
PA14_01030,10369,81624
PA14_01040,2366,13990
PA14_01060,1346,8409
PA14_01070,2956,17134
PA14_01080,1761,9918
PA14_01100,6221,41142
PA14_01110,2664,18398
PA14_01120,1367,3489
PA14_01130,1761,4671
PA14_01140,2698,10171
PA14_01150,1272,4249
PA14_01160,2940,7861
PA14_01170,348,1074
PA14_01180,761,2695
PA14_01190,596,2031
PA14_01200,1259,4116
PA14_01220,1020,3435
PA14_01230,1102,3333
PA14_01240,2253,1968
PA14_01250,310,253
,854,795
,24,37
PA14_01290,381,374
PA14_01300,149,163
PA14_01310,46,46
PA14_01320,66,70
PA14_01330,122,128
PA14_01340,128,132
PA14_01350,58,57
PA14_01360,66,79
PA14_01380,54,64
PA14_01390,2113,1734
PA14_01400,1437,1168
PA14_01410,1081,1015
PA14_01430,532,543
PA14_01440,622,594
PA14_01460,694,751
PA14_01470,578,588
PA14_01480,495,526
PA14_01490,3402,3290
PA14_01500,1173,1200
PA14_01510,681,709
PA14_01520,607,621
PA14_01540,2247,12227
PA14_01550,482,457
PA14_01560,3508,2876
PA14_01580,772,736
PA14_01600,2263,2088
PA14_01610,323,288
PA14_01620,539,444
PA14_01640,856,819
PA14_01660,639,733
PA14_01670,162,135
PA14_01680,39,52
PA14_01690,81,93
,195,191
PA14_01710,25487,21558
PA14_01720,2641,2608
PA14_01730,21673,18920
PA14_01750,1408,1263
PA14_01760,3030,2622
PA14_01770,402,387
,790,736
PA14_01790,690,623
PA14_01800,106,108
PA14_01810,362,375
PA14_01830,1767,1527
PA14_01840,196,166
PA14_01860,585,605
PA14_01870,224,194
PA14_01890,667,590
PA14_01900,89,82
PA14_01910,54,65
,24,34
PA14_01930,1086,965
PA14_01940,1966,1946
PA14_01960,2175,2200
PA14_01970,6827,6984
PA14_01980,2021,1979
PA14_01990,307,297
PA14_02010,357,373
PA14_02020,6424,6346
PA14_02030,716,601
PA14_02050,928,991
,126,151
PA14_02060,1467,1720
PA14_02070,51,60
PA14_02090,3018,2647
PA14_02100,2790,2498
PA14_02110,596,634
PA14_02130,439,439
PA14_02140,496,476
PA14_02150,1243,1196
PA14_02180,98,95
PA14_02190,109,134
PA14_02200,286,273
PA14_02220,1610,1757
PA14_02230,483,486
PA14_02250,1883,1840
PA14_02260,1240,1290
PA14_02270,1191,1171
PA14_02290,1375,1401
PA14_02300,382,358
PA14_02310,353,357
PA14_02330,159,159
PA14_02340,275,253
PA14_02360,198,196
PA14_02370,39,26
PA14_02380,170,160
PA14_02390,322,292
,96,85
PA14_02410,59,57
PA14_02420,72,75
PA14_02435,73,60
PA14_02450,1340,908
PA14_02460,361,274
PA14_02470,1293,1031
PA14_02490,36,39
PA14_02500,64,74
PA14_02510,38,51
PA14_02520,1756,2105
PA14_02530,1408,1371
PA14_02550,416,459
PA14_02560,104,133
PA14_02570,49,85
PA14_02580,120,193
PA14_02590,161,223
PA14_02610,82,107
PA14_02620,74,110
PA14_02630,114,131
PA14_02640,160,211
PA14_02650,851,723
PA14_02660,571,592
,34,26
PA14_02680,191,148
PA14_02690,75,78
PA14_02700,173,154
PA14_02720,52,46
PA14_02730,342,305
PA14_02740,195,166
PA14_02750,1174,1139
PA14_02760,283,250
PA14_02770,229,250
PA14_02790,349,411
PA14_02810,147,166
PA14_02830,1216,1156
PA14_02840,872,809
PA14_02850,461,498
PA14_02870,1010,833
PA14_02890,123,127
PA14_02900,111,101
PA14_02910,1421,1285
PA14_02930,140,118
PA14_02960,150,160
PA14_02970,346,389
PA14_02980,53,58
PA14_02990,58,57
PA14_03000,276,236
PA14_03010,884,752
PA14_03020,68,72
PA14_03030,168,152
PA14_03040,1581,1394
PA14_03050,174,179
PA14_03070,877,801
PA14_03080,563,526
PA14_03090,600,589
PA14_03100,96,89
PA14_03110,133,101
PA14_03120,699,625
PA14_03130,2278,2364
PA14_03150,2634,2414
PA14_03160,958,972
PA14_03163,15404,16720
PA14_03166,5665,6775
PA14_03170,1625,2050
PA14_03190,3582,5580
PA14_03200,2188,4816
PA14_03210,487,1084
PA14_03220,1432,3091
PA14_03240,9,43
,1173,1039
PA14_03250,3405,3858
PA14_03265,1707,1949
PA14_03270,8128,9392
PA14_03285,2541,2842
PA14_03300,1062,963
,322,255
PA14_03310,945,867
,2009,2388
PA14_03320,3172,4090
PA14_03330,1927,2715
PA14_03340,2277,3156
PA14_03350,5227,6092
PA14_03360,4525,5383
PA14_03370,2889,3337
,2326,2978
PA14_03380,3972,4739
PA14_03390,316,256
,101,99
,1210,1197
PA14_03410,7,6
PA14_03420,27,26
PA14_03430,14252,12746
,68,61
PA14_03450,22680,19675
,4,2
PA14_03470,2606,2372
PA14_03480,627,596
PA14_03490,427,425
PA14_03510,405,413
PA14_03520,309,246
PA14_03530,520,452
PA14_03550,117,91
PA14_03560,180,154
PA14_03580,764,743
PA14_03590,78,114
PA14_03610,1279,21970
PA14_03620,175,178
PA14_03630,319,313
PA14_03650,1752,1713
PA14_03670,836,809
PA14_03680,860,717
PA14_03700,1617,1518
PA14_03710,508,483
PA14_03720,3052,2641
PA14_03730,12094,9171
PA14_03760,185,145
PA14_03770,192,143
PA14_03780,768,820
,58,59
PA14_03790,435,462
PA14_03800,15225,15188
PA14_03810,3843,3347
PA14_03830,861,970
PA14_03840,1274,931
PA14_03855,3658,2907
PA14_03860,12227,11009
PA14_03870,1681,1547
PA14_03880,4666,4499
PA14_03900,10983,10322
PA14_03920,16847,15661
PA14_03930,6444,5583
PA14_03940,6377,5655
PA14_03950,5041,4383
PA14_03960,4424,3744
PA14_03980,2243,2052
,33,40
PA14_04000,728,702
PA14_04010,4252,3682
PA14_04020,1195,951
PA14_04030,2006,1734
PA14_04040,2177,1896
PA14_04050,1741,1846
PA14_04060,76,54
PA14_04070,893,869
PA14_04080,1369,981
PA14_04090,2193,1589
PA14_04100,2425,2207
PA14_04110,20334,16868
PA14_04140,9674,8476
PA14_04150,3739,3658
PA14_04160,2794,2592
PA14_04180,390,2395
PA14_04190,127,97
PA14_04210,125,98
PA14_04220,113,156
PA14_04230,28,27
PA14_04240,51,47
PA14_04250,89,115
,108,99
PA14_04270,345,577
PA14_04290,1426,1724
PA14_04300,2443,2930
PA14_04310,5779,4086
PA14_04320,8333,7189
PA14_04330,1532,1414
PA14_04340,2124,2498
PA14_04350,528,783
PA14_04370,1285,1046
PA14_04380,2135,1918
PA14_04390,8740,7958
PA14_04410,22476,20187
PA14_04420,1424,1864
PA14_04430,974,972
PA14_04440,1081,871
PA14_04460,2956,2420
PA14_04480,4279,3444
PA14_04490,1144,1079
PA14_04510,2376,2345
PA14_04520,1953,1861
PA14_04530,456,316
PA14_04550,94,80
PA14_04560,382,313
PA14_04570,136,138
PA14_04580,1185,990
PA14_04590,1251,1094
PA14_04610,2443,2201
PA14_04630,8872,8352
PA14_04640,2981,2477
PA14_04650,192,968
PA14_04660,1344,1183
PA14_04670,4159,3502
PA14_04680,1264,1054
PA14_04690,3936,4086
PA14_04700,3251,4283
PA14_04710,7082,11448
PA14_04730,3176,2800
PA14_04750,1894,1632
PA14_04760,3368,2711
PA14_04780,1265,1325
PA14_04790,603,640
PA14_04810,1339,1475
PA14_04820,1437,1273
PA14_04830,540,540
PA14_04840,1687,1634
,1311,1143
PA14_04860,2484,2325
PA14_04870,4496,4298
PA14_04890,4206,3815
PA14_04900,10495,9528
PA14_04910,4961,4591
PA14_04920,4695,4253
PA14_04930,24238,23466
PA14_04940,2504,2109
PA14_04950,720,692
PA14_04960,1169,1027
PA14_04970,1388,1026
PA14_04980,6248,4897
PA14_05000,2999,2276
PA14_05010,545,392
PA14_05020,529,473
PA14_05030,532,462
PA14_05040,1537,1228
PA14_05050,6790,5450
PA14_05060,4872,3912
PA14_05070,3244,2683
PA14_05080,4220,3756
PA14_05110,5561,4852
,2177,2183
PA14_05130,4706,4818
PA14_05150,6311,6420
PA14_05160,6146,5994
PA14_05180,6204,5360
PA14_05190,4541,4309
PA14_05200,371,351
PA14_05210,599,533
PA14_05220,6364,5910
PA14_05230,7485,6789
PA14_05250,5752,4866
PA14_05260,4750,3958
PA14_05270,1642,1479
PA14_05280,1661,1375
PA14_05290,3747,3130
PA14_05300,1403,1135
PA14_05310,2497,2405
PA14_05320,9622,7997
PA14_05330,7996,6640
PA14_05340,5655,4797
PA14_05360,25660,21875
PA14_05380,4870,3944
PA14_05390,41386,34586
PA14_05400,4221,3501
PA14_05410,2090,1784
PA14_05420,1248,1172
PA14_05430,224,139
PA14_05440,2474,3040
PA14_05450,1993,1671
PA14_05460,4932,3984
,16,24
PA14_05480,6599,5381
PA14_05500,2813,1985
PA14_05510,20613,15903
PA14_05520,611,733
PA14_05530,13425,12802
PA14_05540,35884,32135
PA14_05550,23139,21893
PA14_05560,22414,21533
PA14_05580,10539,9237
PA14_05590,5341,4626
PA14_05600,5904,4983
PA14_05620,23532,20582
PA14_05630,310,320
PA14_05640,237,284
PA14_05650,162,178
PA14_05660,2854,2878
PA14_05690,1631,1410
PA14_05700,1121,1062
,13,7
PA14_05740,286,176
PA14_05750,262,222
PA14_05770,1502,1532
,14,13
PA14_05775,6,18
PA14_05790,206,259
PA14_05810,348,337
PA14_05820,6102,4076
PA14_05840,13176,7939
PA14_05850,1723,1541
PA14_05860,5174,2357
PA14_05870,145,124
PA14_05880,391,349
PA14_05890,134,128
PA14_05910,386,405
PA14_05920,2353,2101
PA14_05950,2718,2432
PA14_05960,157137,139443
PA14_05970,2323,1962
PA14_05990,1307,1152
,14,10
PA14_06000,5769,4829
PA14_06010,2963,3324
PA14_06030,2695,2505
,1105,1276
PA14_06060,1410,1325
PA14_06070,2476,2157
PA14_06080,390,323
PA14_06090,54,41
,21,21
PA14_06120,728,608
PA14_06130,851,865
PA14_06150,1749,1639
,463,342
PA14_06160,170,112
PA14_06170,89,102
PA14_06180,54,67
PA14_06190,1338,1351
PA14_06200,31,38
PA14_06210,366,385
PA14_06230,153,146
PA14_06240,389,444
PA14_06250,841,698
PA14_06260,877,970
PA14_06270,177,223
PA14_06280,915,686
PA14_06290,23281,21276
